team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
11390,Habsor,0.0,0.0,23.74,1456.0,False,23.74,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,57,24,,0.0,33,Lock,1.0,0.0
11471,Neon,0.0,0.0,23.74,1456.0,False,23.74,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,58,24,,0.0,34,Lock,1.0,0.0
11478,KasimTec,0.0,0.0,23.74,1456.0,False,23.74,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,59,24,,0.0,35,Lock,1.0,0.0
11480,EXODUS,0.0,0.0,23.74,1456.0,False,23.74,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,60,24,,0.0,36,Lock,1.0,0.0
10139,Tsunami,0.0,0.0,23.11,1453.0,False,23.11,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,61,24,,0.0,37,Lock,1.0,0.0
1943,Neat Team,0.0,0.0,21.54,1448.0,False,21.54,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,62,24,,0.0,38,Lock,1.0,0.0
10695,Galileo,0.0,0.0,18.7,1436.0,False,18.7,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,65,26,,0.0,39,Lock,1.0,0.0
1954,ElectroBunny,0.0,0.0,18.12,1433.0,False,18.12,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,66,26,,0.0,40,Lock,1.0,0.0
4319,Ladies FIRST,0.0,0.0,16.88,1428.0,False,16.88,1.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,67,26,,0.0,41,Lock,1.0,0.0
1580,The Blue Monkeys,0.0,0.0,12.51,1407.0,False,12.51,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,69,27,,0.0,42,Lock,1.0,0.0
5990,TRIGON,0.0,0.0,89.74,1620.0,False,89.74,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,3,-40,,0.0,43,No way,0.0,0.0
5951,Makers Assemble,0.0,0.0,86.0,1612.0,False,86.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,6,-38,,0.0,44,No way,0.0,0.0
5614,Team Sycamore,0.0,0.0,81.11,1601.0,False,81.11,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.005000000000000001,0.0,7,-38,,0.0,45,No way,0.0,0.0
7039,❌⭕,0.0,0.0,69.21,1574.0,False,69.21,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,9,-37,,0.0,46,No way,0.0,0.0
5987,Galaxia in memory of David Zohar,0.0,0.0,63.04,1560.0,False,63.04,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,13,-34,,0.0,47,No way,0.0,0.0
5635,Demacia,0.0,0.0,55.79,1543.0,False,55.79,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,18,-30,,0.0,48,No way,0.0,0.0
6740,G3 - Glue Gun & Glitter,0.0,0.0,55.52,1542.0,False,55.52,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,19,-30,,0.0,49,No way,0.0,0.0
5715,DRC,0.0,0.0,51.56,1533.0,False,51.56,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,22,-28,,0.0,50,No way,0.0,0.0
7845,8BIT,0.0,0.0,50.17,1530.0,False,50.17,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,24,-27,,0.0,51,No way,0.0,0.0
5554,The Poros Robotics,0.0,0.0,48.97,1527.0,False,48.97,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.010000000000000002,0.0,25,-27,,0.0,52,No way,0.0,0.0
5654,Phoenix,0.0,0.0,47.58,1524.0,False,47.58,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,28,-25,,0.0,53,No way,0.0,0.0
7112,EverGreen,0.0,0.0,43.24,1513.0,False,43.24,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,30,-24,,0.0,54,No way,0.0,0.0
6738,Excalibur,0.0,0.0,42.85,1512.0,False,42.85,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,33,-22,,0.0,55,No way,0.0,0.0
8223,Mariners,0.0,0.0,41.77,1509.0,False,41.77,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,34,-22,,0.0,56,No way,0.0,0.0
5291,Emperius,0.0,0.0,40.22,1505.0,False,40.22,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.015000000000000001,0.0,35,-22,,0.0,57,No way,0.0,0.0
8175,Piece of Mind,0.0,0.0,39.77,1504.0,False,39.77,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,36,-22,,0.0,58,No way,0.0,0.0
9740,CANBus in memory of Roney Tal,0.0,0.0,39.61,1504.0,False,39.61,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,37,-22,,0.0,59,No way,0.0,0.0
9738,Ionic Bond,0.0,0.0,38.44,1500.0,False,38.44,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,38,-22,,0.0,60,No way,0.0,0.0
6104,Desert Eagles in memory of Yehonatan Maimon,0.0,0.0,36.46,1495.0,False,36.46,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,39,-22,,0.0,61,No way,0.0,0.0
5135,Black Unicorns,0.0,0.0,34.57,1490.0,False,34.57,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.02,0.0,43,-19,,0.0,62,No way,0.0,0.0
5928,MetalBoost,0.0,0.0,34.16,1489.0,False,34.16,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,44,-19,,0.0,63,No way,0.0,0.0
7067,Team Streak,0.0,0.0,33.98,1488.0,False,33.98,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,45,-19,,0.0,64,No way,0.0,0.0
6168,alzahrawi,0.0,0.0,27.55,1469.0,False,27.55,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,48,-17,,0.0,65,No way,0.0,0.0
9739,Firefly,0.0,0.0,26.08,1464.0,False,26.08,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,50,-16,,0.0,66,No way,0.0,0.0
9304,legend's,0.0,0.0,19.69,1440.0,False,19.69,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,63,-4,,0.0,67,No way,0.0,0.0
7177,Turismo,0.0,0.0,18.95,1437.0,False,18.95,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,64,-4,,0.0,68,No way,0.0,0.0
6230,Team Koi,0.0,0.0,15.01,1419.0,False,15.01,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,68,-1,,0.0,69,No way,0.0,0.0
9303,PORTAL,0.0,0.0,12.09,1405.0,False,12.09,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,70,0,,0.0,70,No way,0.0,0.0
