event,event_name,teams_at_event,vulnerable_team_count,can_create_new_auto_qualifier,selected_impact_winner_team,selected_impact_winner_name,selected_impact_winner_prob,selected_impact_winner_points,note
2026paphi,FMA District Philadelphia Event,25,22,True,2180,Zero Gravity,0.0,4.0,Can create a new auto-qualifier
2026njski,FMA District Montgomery Event,35,28,True,2577,Pingry Robotics,0.0,0.0,Can create a new auto-qualifier
