team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
2926,Robo Sparks,69.0,0.0,69.97,1576.0,True,69.97,1.0,69.0,69.0,69.0,69.0,33.0,29.0,0.0,1.0,33,0,,0.0,33,Lock,1.0,0.0
4512,Otter Chaos,68.0,0.0,115.78,1664.0,True,115.78,1.0,68.0,68.0,68.0,68.0,34.0,28.0,0.0,1.0,34,0,,0.0,34,Lock,1.0,0.0
4125,Confidential,68.0,0.0,62.4,1558.0,True,62.4,1.0,68.0,68.0,68.0,68.0,35.0,28.0,0.0,1.0,35,0,,0.0,35,Lock,1.0,0.0
2374,Jesuit Robotics,66.0,0.0,48.56,1526.0,True,48.56,1.0,66.0,66.0,66.0,66.0,36.0,26.0,0.0,1.0,36,0,,0.0,36,Lock,1.0,0.0
997,Spartan Robotics,65.0,0.0,103.58,1646.0,True,103.58,1.0,65.0,65.0,65.0,65.0,38.0,25.0,0.0,1.0,37,0,,0.0,37,Lock,1.0,0.0
10991,PioBytes,65.0,0.0,42.01,1510.0,True,42.01,1.0,65.0,65.0,65.0,65.0,37.0,25.0,0.0,1.0,38,0,,0.0,38,Lock,1.0,0.0
957,SWARM - South and West Albany Robotics Maniacs,63.0,0.0,96.69,1635.0,True,96.69,1.0,63.0,63.0,63.0,63.0,40.0,23.0,0.0,1.0,39,0,,0.0,39,Lock,1.0,0.0
1595,The Dragons,63.0,0.0,48.09,1525.0,True,48.09,1.0,63.0,63.0,63.0,63.0,39.0,23.0,0.0,1.0,40,0,,0.0,40,Lock,1.0,0.0
1778,Chill Out,62.0,0.0,121.31,1671.0,True,121.31,1.0,62.0,62.0,62.0,62.0,42.0,22.0,0.0,1.0,41,0,,0.0,41,Lock,1.0,0.0
8248,ChainLynx,62.0,0.0,63.94,1562.0,True,63.94,1.0,62.0,62.0,62.0,62.0,41.0,22.0,0.0,1.0,42,0,,0.0,42,Lock,1.0,0.0
8051,TinkRex,61.0,0.0,72.16,1581.0,True,72.16,1.0,61.0,61.0,61.0,61.0,44.0,21.0,0.0,1.0,43,0,,0.0,43,Lock,1.0,0.0
488,Team XBOT,61.0,0.0,59.86,1552.0,True,59.86,1.0,61.0,61.0,61.0,61.0,43.0,21.0,0.0,1.0,44,0,,0.0,44,Lock,1.0,0.0
4061,SciBorgs,61.0,0.0,54.91,1541.0,True,54.91,1.0,61.0,61.0,61.0,61.0,45.0,21.0,0.0,1.0,45,0,,0.0,45,Lock,1.0,0.0
2521,SERT,60.0,0.0,91.56,1624.0,True,91.56,1.0,60.0,60.0,60.0,60.0,47.0,20.0,0.0,1.0,46,0,,0.0,46,Lock,1.0,0.0
9430,CTEC Robotics,60.0,0.0,84.04,1607.0,True,84.04,1.0,60.0,60.0,60.0,60.0,46.0,20.0,0.0,1.0,47,0,,0.0,47,Lock,1.0,0.0
10416,Radical Raccoons,59.0,0.0,63.28,1560.0,True,63.28,1.0,59.0,59.0,59.0,59.0,48.0,19.0,0.0,1.0,48,0,,0.0,48,Lock,1.0,0.0
4131,Iron Patriots,48.0,0.0,33.01,1486.0,True,33.01,1.0,48.0,48.0,48.0,48.0,72.0,8.0,0.0,1.0,71,22,,0.0,49,Lock,1.0,0.0
2976,The Spartabots,40.0,0.0,41.69,1509.0,True,41.69,1.0,40.0,40.0,40.0,40.0,91.0,0.0,0.0,1.0,90,40,,0.0,50,Lock,1.0,0.0
5920,VIKotics,57.0,0.0,46.02,1520.0,False,46.02,0.0,57.0,57.0,57.0,57.0,49.0,17.0,0.0,0.0,49,-2,,0.0,51,No way,0.0,0.0
4513,Circuit Breakers,56.0,0.0,65.05,1564.0,False,65.05,0.0,56.0,56.0,56.0,56.0,50.0,16.0,0.0,0.0,50,-2,,0.0,52,No way,0.0,0.0
3393,Horns of Havoc,54.0,0.0,24.83,1460.0,False,24.83,0.0,54.0,54.0,54.0,54.0,51.0,14.0,0.02,0.0,51,-2,,0.0,53,No way,0.0,0.0
1899,Saints Robotics,53.0,0.0,47.21,1523.0,False,47.21,0.0,53.0,53.0,53.0,53.0,54.0,13.0,0.005000000000000001,0.0,52,-2,,0.0,54,No way,0.0,0.0
3070,Team Pronto 3070,53.0,0.0,28.67,1472.0,False,28.67,0.0,53.0,53.0,53.0,53.0,53.0,13.0,0.010000000000000002,0.0,53,-2,,0.0,55,No way,0.0,0.0
3712,RoboCats,53.0,0.0,22.42,1451.0,False,22.42,0.0,53.0,53.0,53.0,53.0,52.0,13.0,0.015000000000000001,0.0,54,-2,,0.0,56,No way,0.0,0.0
2990,Hotwire,52.0,0.0,101.3,1643.0,False,101.3,0.0,52.0,52.0,52.0,52.0,59.0,12.0,0.0,0.0,55,-2,,0.0,57,No way,0.0,0.0
8032,SAASquatch Robotics,52.0,0.0,85.77,1611.0,False,85.77,0.0,52.0,52.0,52.0,52.0,58.0,12.0,0.0,0.0,56,-2,,0.0,58,No way,0.0,0.0
9036,Ramen Robotics,52.0,0.0,75.62,1588.0,False,75.62,0.0,52.0,52.0,52.0,52.0,60.0,12.0,0.0,0.0,57,-2,,0.0,59,No way,0.0,0.0
2930,Sonic Squirrels,52.0,0.0,50.99,1532.0,False,50.99,0.0,52.0,52.0,52.0,52.0,57.0,12.0,0.0,0.0,58,-2,,0.0,60,No way,0.0,0.0
2898,Flying Hedgehogs,52.0,0.0,41.19,1508.0,False,41.19,0.0,52.0,52.0,52.0,52.0,56.0,12.0,0.0,0.0,59,-2,,0.0,61,No way,0.0,0.0
2903,NeoBots,52.0,0.0,33.93,1488.0,False,33.93,0.0,52.0,52.0,52.0,52.0,55.0,12.0,0.0,0.0,60,-2,,0.0,62,No way,0.0,0.0
7627,Bearcat Robotics,51.0,0.0,52.16,1534.0,False,52.16,0.0,51.0,51.0,51.0,51.0,64.0,11.0,0.0,0.0,61,-2,,0.0,63,No way,0.0,0.0
9317,SteamRollers,51.0,0.0,41.21,1508.0,False,41.21,0.0,51.0,51.0,51.0,51.0,63.0,11.0,0.0,0.0,62,-2,,0.0,64,No way,0.0,0.0
5970,Beavertronics,51.0,0.0,19.04,1437.0,False,19.04,0.0,51.0,51.0,51.0,51.0,61.0,11.0,0.0,0.0,63,-2,,0.0,65,No way,0.0,0.0
3826,"Sequim Robotics Federation ""SRF""",51.0,0.0,10.81,1398.0,False,10.81,0.0,51.0,51.0,51.0,51.0,62.0,11.0,0.0,0.0,64,-2,,0.0,66,No way,0.0,0.0
4980,Canine Crusaders,50.0,0.0,51.04,1532.0,False,51.04,0.0,50.0,50.0,50.0,50.0,66.0,10.0,0.0,0.0,65,-2,,0.0,67,No way,0.0,0.0
3673,C.Y.B.O.R.G. Seagulls,50.0,0.0,18.01,1433.0,False,18.01,0.0,50.0,50.0,50.0,50.0,65.0,10.0,0.0,0.0,66,-2,,0.0,68,No way,0.0,0.0
3681,Robo-Raiders,49.0,0.0,59.9,1553.0,False,59.9,0.0,49.0,49.0,49.0,49.0,67.0,9.0,0.0,0.0,67,-2,,0.0,69,No way,0.0,0.0
846,The Funky Monkeys,48.0,0.0,104.19,1647.0,False,104.19,0.0,48.0,48.0,48.0,48.0,69.0,8.0,0.0,0.0,68,-2,,0.0,70,No way,0.0,0.0
2928,Viking Robotics,48.0,0.0,74.16,1585.0,False,74.16,0.0,48.0,48.0,48.0,48.0,70.0,8.0,0.0,0.0,69,-2,,0.0,71,No way,0.0,0.0
7461,Sushi Squad,48.0,0.0,61.81,1557.0,False,61.81,0.0,48.0,48.0,48.0,48.0,71.0,8.0,0.0,0.0,70,-2,,0.0,72,No way,0.0,0.0
5941,Cast Iron Orcas,48.0,0.0,6.82,1376.0,False,6.82,0.0,48.0,48.0,48.0,48.0,68.0,8.0,0.0,0.0,72,-1,,0.0,73,No way,0.0,0.0
4692,Metal Mallards,47.0,0.0,40.71,1506.0,False,40.71,0.0,47.0,47.0,47.0,47.0,75.0,7.0,0.0,0.0,73,-1,,0.0,74,No way,0.0,0.0
4043,NerdHerd,47.0,0.0,34.89,1491.0,False,34.89,0.0,47.0,47.0,47.0,47.0,74.0,7.0,0.0,0.0,74,-1,,0.0,75,No way,0.0,0.0
4060,Bearcat Robotics,47.0,0.0,26.74,1466.0,False,26.74,0.0,47.0,47.0,47.0,47.0,73.0,7.0,0.0,0.0,75,-1,,0.0,76,No way,0.0,0.0
3786,Chargers,46.0,0.0,44.16,1515.0,False,44.16,0.0,46.0,46.0,46.0,46.0,77.0,6.0,0.0,0.0,76,-1,,0.0,77,No way,0.0,0.0
5588,Reign Robotics,46.0,0.0,40.06,1505.0,False,40.06,0.0,46.0,46.0,46.0,46.0,76.0,6.0,0.0,0.0,77,-1,,0.0,78,No way,0.0,0.0
4911,CyberKnights,44.0,0.0,68.26,1572.0,False,68.26,0.0,44.0,44.0,44.0,44.0,78.0,4.0,0.0,0.0,78,-1,,0.0,79,No way,0.0,0.0
6443,AEMBOT,44.0,0.0,35.01,1491.0,False,35.01,0.0,44.0,44.0,44.0,44.0,79.0,4.0,0.0,0.0,79,-1,,0.0,80,No way,0.0,0.0
9600,X-Flare Robotics,43.0,0.0,64.59,1563.0,False,64.59,0.0,43.0,43.0,43.0,43.0,81.0,3.0,0.0,0.0,80,-1,,0.0,81,No way,0.0,0.0
3636,Generals,43.0,0.0,27.12,1467.0,False,27.12,0.0,43.0,43.0,43.0,43.0,80.0,3.0,0.0,0.0,81,-1,,0.0,82,No way,0.0,0.0
6465,Mystic Biscuit,42.0,0.0,43.05,1512.0,False,43.05,0.0,42.0,42.0,42.0,42.0,82.0,2.0,0.0,0.0,82,-1,,0.0,83,No way,0.0,0.0
2635,Lake Monsters,41.0,0.0,45.1,1517.0,False,45.1,0.0,41.0,41.0,41.0,41.0,87.0,1.0,0.0,0.0,83,-1,,0.0,84,No way,0.0,0.0
9446,C Cubed,41.0,0.0,35.75,1493.0,False,35.75,0.0,41.0,41.0,41.0,41.0,85.0,1.0,0.0,0.0,84,-1,,0.0,85,No way,0.0,0.0
6343,Steel Ridge,41.0,0.0,30.44,1478.0,False,30.44,0.0,41.0,41.0,41.0,41.0,84.0,1.0,0.0,0.0,85,-1,,0.0,86,No way,0.0,0.0
847,PHRED,41.0,0.0,24.83,1460.0,False,24.83,0.0,41.0,41.0,41.0,41.0,83.0,1.0,0.0,0.0,86,-1,,0.0,87,No way,0.0,0.0
1359,Scalawags,41.0,0.0,20.85,1445.0,False,20.85,0.0,41.0,41.0,41.0,41.0,88.0,1.0,0.0,0.0,87,-1,,0.0,88,No way,0.0,0.0
9438,Leopard Tech,41.0,0.0,14.72,1418.0,False,14.72,0.0,41.0,41.0,41.0,41.0,86.0,1.0,0.0,0.0,88,-1,,0.0,89,No way,0.0,0.0
